date,value
2005-01-31,3036.58
2005-02-01,3052.68
2005-02-02,3072.07
2005-02-03,3127.32
2005-02-04,3124.73
2005-02-07,3136.12
2005-02-08,3144.87
2005-02-09,3181.69
2005-02-10,3182.51
2005-02-11,3187.2
2005-02-14,3193.66
2005-02-15,3158.36
2005-02-16,3143.86
2005-02-17,3131.75
2005-02-18,3135.87
2005-02-21,3117.44
2005-02-22,3143.93
2005-02-23,3156.78
2005-02-24,3150.45
2005-02-25,3132.18
2005-02-28,3163.16
2005-03-01,3164.88
2005-03-02,3209.81
2005-03-03,3248.01
2005-03-04,3273.99
2005-03-07,3294.57
2005-03-08,3325.47
2005-03-09,3285.91
2005-03-10,3311.33
2005-03-11,3297.41
2005-03-14,3276.84
2005-03-15,3266.49
2005-03-16,3283.15
2005-03-17,3241.03
2005-03-18,3214.6
2005-03-21,3206.57
2005-03-22,3128.67
2005-03-23,3058.42
2005-03-24,3042.83
2005-03-28,3071.92
2005-03-29,3011.11
2005-03-30,3053.44
2005-03-31,3108.3
2005-04-01,3178.35
2005-04-04,3199.65
2005-04-05,3160.2
2005-04-06,3188.58
2005-04-07,3193.26
2005-04-08,3178.46
2005-04-11,3147.14
2005-04-12,3172.9
2005-04-13,3181.43
2005-04-15,3106.35
2005-04-18,3072.15
2005-04-19,3048.58
2005-04-20,3061.38
2005-04-21,3110.47
2005-04-22,3138.42
2005-04-25,3151.91
2005-04-26,3155.46
2005-04-27,3118.79
2005-04-28,3092.27
2005-04-29,3048.43
2005-05-02,3025.62
2005-05-03,3034.18
2005-05-04,3068.75
2005-05-05,3103.18
2005-05-06,3110.14
2005-05-09,3151.49
2005-05-10,3146.37
2005-05-11,3147.56
2005-05-12,3172.44
2005-05-13,3183.42
2005-05-16,3207.65
2005-05-17,3178.92
2005-05-18,3182.99
2005-05-19,3205.59
2005-05-20,3198.88
2005-05-23,3220.44
2005-05-24,3236.41
2005-05-25,3250.73
2005-05-26,3242.34
2005-05-27,3235.4
2005-05-30,3223.22
2005-05-31,3255.91
2005-06-01,3272.78
2005-06-02,3258.42
2005-06-03,3288.36
2005-06-04,3308.13
2005-06-06,3313.07
2005-06-07,3336.59
2005-06-08,3347.24
2005-06-09,3350.66
2005-06-10,3330.12
2005-06-13,3335.85
2005-06-14,3337.22
2005-06-15,3352.67
2005-06-16,3310.03
2005-06-17,3271.53
2005-06-20,3263.3
2005-06-21,3273.83
2005-06-22,3274.6
2005-06-23,3291.98
2005-06-24,3308.94
2005-06-27,3305.08
2005-06-28,3258.91
2005-06-29,3284
2005-06-30,3266.06
2005-07-01,3314.65
2005-07-04,3365.42
2005-07-05,3354.16
2005-07-06,3410.52
2005-07-07,3363.49
2005-07-08,3417.29
2005-07-11,3462.85
2005-07-12,3475.11
2005-07-13,3505.73
2005-07-14,3500.42
2005-07-15,3533.85
2005-07-18,3603.25
2005-07-19,3637.79
2005-07-20,3660.16
2005-07-21,3643.43
2005-07-22,3685.15
2005-07-25,3700.95
2005-07-26,3683.17
2005-07-27,3684.77
2005-07-29,3653.19
2005-08-01,3674.51
2005-08-02,3737.31
2005-08-03,3739.35
2005-08-04,3777.66
2005-08-05,3808.36
2005-08-08,3767.96
2005-08-09,3744.22
2005-08-10,3815.26
2005-08-11,3860.59
2005-08-12,3872.56
2005-08-16,3889.36
2005-08-17,3928.33
2005-08-18,3910.26
2005-08-19,3899.29
2005-08-22,3894.03
2005-08-23,3816.99
2005-08-24,3770.04
2005-08-25,3813.23
2005-08-26,3876.78
2005-08-29,3860.61
2005-08-30,3900.37
2005-08-31,3935.72
2005-09-01,3969.35
2005-09-02,3990.28
2005-09-05,4004.2
2005-09-06,4005.19
2005-09-08,4035.4
2005-09-09,4044.3
2005-09-12,4093.53
2005-09-13,4119.93
2005-09-14,4096.66
2005-09-15,4142.13
2005-09-16,4154.83
2005-09-19,4199.93
2005-09-20,4178.78
2005-09-21,4085.15
2005-09-22,3894.51
2005-09-23,3938.72
2005-09-26,4060.16
2005-09-27,4091.73
2005-09-28,4116.74
2005-09-29,4103.2
2005-09-30,4096.59
2005-10-03,4154.36
2005-10-04,4210.1
2005-10-05,4184.87
2005-10-06,4119.61
2005-10-07,4094.86
2005-10-10,4075.07
2005-10-11,4073.51
2005-10-13,4036.06
2005-10-14,3958.76
2005-10-17,3939.44
2005-10-18,3917.76
2005-10-19,3808.23
2005-10-20,3755.92
2005-10-21,3807.8
2005-10-24,3803.97
2005-10-25,3817.21
2005-10-26,3806.6
2005-10-27,3735.7
2005-10-28,3669
2005-10-31,3747.92
2005-11-01,3790.05
2005-11-02,3811.78
2005-11-07,3881.66
2005-11-08,3930.85
2005-11-09,3923.69
2005-11-10,3936.56
2005-11-11,3988.97
2005-11-14,4001.81
2005-11-16,4029.08
2005-11-17,4049.46
2005-11-18,4076.2
2005-11-21,4051.72
2005-11-22,4024.75
2005-11-23,4034.68
2005-11-24,4061.64
2005-11-25,4106.73
2005-11-26,4148.16
2005-11-28,4164.72
2005-11-29,4146
2005-11-30,4134.24
2005-12-01,4190.66
2005-12-02,4206.68
2005-12-05,4182.68
2005-12-06,4177.39
2005-12-07,4199.56
2005-12-08,4213.89
2005-12-09,4239.03
2005-12-12,4241.51
2005-12-13,4286.2
2005-12-14,4286.58
2005-12-15,4251.03
2005-12-16,4281.02
2005-12-19,4323.43
2005-12-20,4306.43
2005-12-21,4305.09
2005-12-22,4319.34
2005-12-23,4278.1
2005-12-26,4186.8
2005-12-27,4271.03
2005-12-28,4273.99
2005-12-29,4301.62
2005-12-30,4349.37
2006-01-02,4377.7
2006-01-03,4442.45
2006-01-04,4475.14
2006-01-05,4506.98
2006-01-06,4535.84
2006-01-09,4573.4
2006-01-10,4547.07
2006-01-12,4534.44
2006-01-13,4545.5
2006-01-16,4519.98
2006-01-17,4468.73
2006-01-18,4439.05
2006-01-19,4516.2
2006-01-20,4558.19
2006-01-23,4554.85
2006-01-24,4562.94
2006-01-25,4596.62
2006-01-27,4687.2
2006-01-30,4638.88
2006-01-31,4650.27
2006-02-01,4608.06
2006-02-02,4613.46
2006-02-03,4629.7
2006-02-06,4694.92
2006-02-07,4718.82
2006-02-08,4720.82
2006-02-10,4781.09
2006-02-13,4816.72
2006-02-14,4795.7
2006-02-15,4782.2
2006-02-16,4793.49
2006-02-17,4719.7
2006-02-20,4657.8
2006-02-21,4688.91
2006-02-22,4694.47
2006-02-23,4680.7
2006-02-24,4723.1
2006-02-27,4746.22
2006-02-28,4748.97
2006-03-01,4856.19
2006-03-02,4890.24
2006-03-03,4916.81
2006-03-06,4972.51
2006-03-07,5018.97
2006-03-08,4931.18
2006-03-09,4952.85
2006-03-10,4995.51
2006-03-13,5023.2
2006-03-14,5004.51
2006-03-16,5024.32
