date,value
2004-08-16,3448.77
2004-08-17,3472.1
2004-08-18,3464.55
2004-08-19,3475.19
2004-08-20,3447.32
2004-08-23,3409.61
2004-08-24,3430.68
2004-08-25,3449.14
2004-08-26,3488.49
2004-08-27,3530.62
2004-08-30,3609.15
2004-08-31,3622.8
2004-09-01,3663.29
2004-09-02,3666.4
2004-09-03,3711.64
2004-09-06,3759.49
2004-09-07,3785.67
2004-09-08,3788.27
2004-09-09,3746.26
2004-09-10,3768.71
2004-09-13,3767.4
2004-09-14,3775.12
2004-09-15,3785.33
2004-09-16,3841.37
2004-09-17,3874.15
2004-09-20,3879.88
2004-09-21,3918.96
2004-09-22,3987.98
2004-09-23,3939.49
2004-09-24,3949.81
2004-09-27,3956.84
2004-09-28,3935.86
2004-09-29,3962.8
2004-09-30,3974.99
2004-10-01,3996.66
2004-10-04,4021.73
2004-10-05,4082.3
2004-10-06,4072.21
2004-10-07,4076.97
2004-10-08,4081.8
2004-10-09,4095.36
2004-10-11,4052.99
2004-10-12,3976.02
2004-10-14,3958.78
2004-10-15,3953.51
2004-10-18,3954.87
2004-10-19,3989.24
2004-10-20,3965.76
2004-10-21,3947.27
2004-10-25,3876.71
2004-10-26,3902.29
2004-10-27,3958.22
2004-10-28,3956.12
2004-10-29,3949.7
2004-11-01,3979.79
2004-11-02,4017.38
2004-11-03,4078.95
2004-11-04,4095.64
2004-11-05,4094.22
2004-11-08,4082.19
2004-11-09,4049.6
2004-11-10,4074.52
2004-11-11,4077.59
2004-11-12,4100.5
2004-11-16,4148.41
2004-11-17,4229.7
2004-11-18,4288.7
2004-11-19,4238.68
2004-11-22,4227.08
2004-11-23,4300.92
2004-11-24,4330.19
2004-11-25,4333.2
2004-11-29,4406.3
2004-11-30,4416.02
2004-12-01,4486.28
2004-12-02,4612.12
2004-12-03,4611.72
2004-12-06,4593.25
2004-12-07,4587.29
2004-12-08,4573.08
2004-12-09,4593.83
2004-12-10,4565.44
2004-12-13,4581.52
2004-12-14,4634.06
2004-12-15,4668.51
2004-12-16,4723.31
2004-12-17,4734.68
2004-12-20,4775.62
2004-12-21,4825.76
2004-12-22,4825.65
2004-12-23,4931.62
2004-12-24,4935.88
2004-12-27,4985.17
2004-12-28,5047.26
2004-12-29,5003.02
2004-12-30,4972.1
2004-12-31,5063.57
